"filename", "language", "JavaScript", "PHP", "HTML", "CSS", "SQL", "comment", "blank", "total"
"e:\SEMESTER4\PWEB\EDIN\js\profile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"e:\SEMESTER4\PWEB\EDIN\js\readmateri.js", "JavaScript", 14, 0, 0, 0, 0, 9, 8, 31
"e:\SEMESTER4\PWEB\EDIN\login.php", "PHP", 0, 48, 0, 0, 0, 0, 8, 56
"e:\SEMESTER4\PWEB\EDIN\logout.php", "PHP", 0, 9, 0, 0, 0, 0, 4, 13
"e:\SEMESTER4\PWEB\EDIN\profile.php", "PHP", 0, 125, 0, 0, 0, 1, 10, 136
"e:\SEMESTER4\PWEB\EDIN\user\artikel.php", "PHP", 0, 53, 0, 0, 0, 1, 10, 64
"e:\SEMESTER4\PWEB\EDIN\user\buatAkun.html", "HTML", 0, 0, 51, 0, 0, 0, 6, 57
"e:\SEMESTER4\PWEB\EDIN\user\ceklogin.php", "PHP", 0, 11, 0, 0, 0, 0, 3, 14
"e:\SEMESTER4\PWEB\EDIN\user\download.php", "PHP", 0, 33, 0, 0, 0, 0, 5, 38
"e:\SEMESTER4\PWEB\EDIN\user\footer.php", "PHP", 0, 53, 0, 0, 0, 0, 4, 57
"e:\SEMESTER4\PWEB\EDIN\user\forum.php", "PHP", 0, 60, 0, 0, 0, 1, 13, 74
"e:\SEMESTER4\PWEB\EDIN\user\hapusKelas.php", "PHP", 0, 22, 0, 0, 0, 0, 2, 24
"e:\SEMESTER4\PWEB\EDIN\user\insidekelas.php", "PHP", 0, 85, 0, 0, 0, 0, 17, 102
"e:\SEMESTER4\PWEB\EDIN\user\kelas.php", "PHP", 0, 81, 0, 0, 0, 0, 11, 92
"e:\SEMESTER4\PWEB\EDIN\user\materi.php", "PHP", 0, 64, 0, 0, 0, 0, 6, 70
"e:\SEMESTER4\PWEB\EDIN\user\memberkelas.php", "PHP", 0, 123, 0, 0, 0, 0, 11, 134
"e:\SEMESTER4\PWEB\EDIN\user\ownerkelas.php", "PHP", 0, 98, 0, 0, 0, 0, 15, 113
"e:\SEMESTER4\PWEB\EDIN\user\readMateri.php", "PHP", 0, 48, 0, 0, 0, 0, 10, 58
"e:\SEMESTER4\PWEB\EDIN\user\readartikel.php", "PHP", 0, 30, 0, 0, 0, 0, 5, 35
"e:\SEMESTER4\PWEB\EDIN\user\readforum.php", "PHP", 0, 83, 0, 0, 0, 1, 13, 97
"e:\SEMESTER4\PWEB\EDIN\user\submittedTask.php", "PHP", 0, 57, 0, 0, 0, 0, 10, 67
"e:\SEMESTER4\PWEB\EDIN\user\typing.php", "PHP", 0, 13, 0, 0, 0, 0, 4, 17
"Total", "-", 136, 2303, 51, 16144, 207, 507, 2418, 21766
